"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"ROI-guided virtual narrow band imaging for laryngeal cancer screening.","https://scispace.com/paper/42256307","2026","Journal Article","iScience","Huang
Zhu
Zhao
Li
Wang
Luo
Zhen
Zhang
Wang
Zhang
Liu
Zhang
Liu
Ni","10.1016/j.isci.2026.116161","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13233563/pdf","- **Relevance Score:** 38/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses CycleGAN to generate virtual NBI, reports sensitivity and specificity (no AUC). No genomics data. Directly compares virtual NBI to standard white‑light imaging, showing improved reader accuracy.","White light laryngoscopy is widely available but can miss subtle vascular changes associated with early laryngeal neoplasia. We developed a region-of-interest (ROI)-guided cycle-consistent generative adversarial network (CycleGAN) that translates white light imaging (WLI) images into virtual narrow band imaging (NBI) images, while emphasizing expert-annotated lesion regions. The framework was trained and evaluated on 775 weakly paired WLI-NBI image pairs and assessed with technical image quality metrics, subjective reader scoring, a visual Turing test, and a multi-center reader study involving 12 otolaryngologists from nine institutions. The model preserved lesion-region structure better than global background structure and improved overall reader accuracy compared with WLI alone (81.5% versus 73.4%). Assistance mainly increased sensitivity for junior readers and specificity for senior readers. These findings support virtual NBI as a potential software-based adjunct where optical NBI is unavailable, while requiring further external and small-lesion validation."
"Decoding Spectral Perturbations from a SERS Artificial Nose in Serum for Early Lung Cancer Detection.","https://scispace.com/paper/42289861","2026","Journal Article","Analytical chemistry","Peng
Li
Liu
Cai
Zhang","10.1021/acs.analchem.6c00680","","- **Relevance Score:** 38/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses machine‑learning on SERS spectra, reports 100% sensitivity and 98% specificity, but lacks AUC. No imaging or genomics data. Directly compares to standard serological and imaging screens, showing superior performance.","Serum biomarkers for early cancer detection often suffer from limited sensitivity and specificity due to the biochemical complexity of blood. Here, we report a surface-enhanced Raman scattering (SERS) artificial nose that integrates a set of chemically distinct molecular receptors to generate multidimensional spectral responses to human serum. These receptors exhibit large Raman cross sections and well-defined vibrational signatures, enabling high signal-to-noise readouts and subtle yet reproducible spectral perturbations upon exposure to serum components. By applying machine-learning analysis to the resulting multivariate Raman patterns, we extract a diagnostic molecular fingerprint capable of distinguishing early-stage non-small-cell lung cancer (NSCLC) from controls. Using an optimized multireceptor array, the model achieves 100% sensitivity at 98% specificity, markedly outperforming conventional serological biomarkers and imaging-based screening approaches. This work establishes a chemically tunable SERS artificial nose as a powerful strategy for serum-based cancer detection and highlights the potential of multiplexed, receptor-driven sensing for disease-associated metabolic phenotyping."
"Systematic Review: Comparing AI-Based Algorithms and Radiologists in Identifying Lung Nodules on CT Scans","https://scispace.com/paper/systematic-review-comparing-ai-based-algorithms-and-1fgle2m43vvc","2024","Journal Article","International Journal For Multidisciplinary Research","Nishant Gandhi
Dhruvil A Kheni -
Shahpoor A. Shirzada -
Harsh Bansal","10.36948/ijfmr.2024.v06i06.30712","https://scispace.compdf/systematic-review-comparing-ai-based-algorithms-and-1fgle2m43vvc.pdf","- **Relevance Score:** 38/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses AI to detect lung nodules with sensitivity and specificity; lacks AUC and genomics data; directly compares AI algorithms to radiologists, providing performance comparisons.","Lung cancer is one of the most lethal cancers worldwide, largely due to its late diagnosis and progression before symptoms manifest. Lung nodules, detected primarily through CT imaging, are a key indicator of early lung cancer, and timely identification is critical for effective intervention. Recently, artificial intelligence (AI), particularly deep learning algorithms like convolutional neural networks (CNNs), has shown potential for enhancing the detection accuracy of these nodules. This systematic review compares the diagnostic accuracy, sensitivity, specificity, and time efficiency of AI algorithms and radiologists in lung nodule detection on CT scans. We conducted an exhaustive search across PubMed, Cochrane Library, IEEE Xplore, and Embase, covering studies published between 2010 and 2023. Fifty studies meeting inclusion criteria were analyzed, focusing on performance metrics and the algorithms used. Results indicated that AI models achieved higher sensitivity, especially with nodules &lt;6mm, and reduced detection times; however, specificity remained variable. This study underscores AI’s role in advancing early lung cancer detection but highlights the need for integration strategies, ethical frameworks, and further clinical trials. "
"Pre-screening breast cancer with machine learning and deep learning","https://scispace.com/paper/pre-screening-breast-cancer-with-machine-learning-and-deep-2q75lidw","2023","Posted Content","","","10.48550/arxiv.2302.02406","https://scispace.com/pdf/pre-screening-breast-cancer-with-machine-learning-and-deep-2q75lidw.pdf","- **Relevance Score:** 38/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses deep learning on demographic, anthropometric and blood‑marker data for breast‑cancer pre‑screening, reporting AUC but not sensitivity/specificity; no imaging or genomics data; directly compares deep learning, SVM and neural networks, showing superior AUC for deep learning.","We suggest that deep learning can be used for pre-screening cancer by analyzing demographic and anthropometric information of patients, as well as biological markers obtained from routine blood samples and relative risks obtained from meta-analysis and international databases. We applied feature selection algorithms to a database of 116 women, including 52 healthy women and 64 women diagnosed with breast cancer, to identify the best pre-screening predictors of cancer. We utilized the best predictors to perform k-fold Monte Carlo cross-validation experiments that compare deep learning against traditional machine learning algorithms. Our results indicate that a deep learning model with an input-layer architecture that is fine-tuned using feature selection can effectively distinguish between patients with and without cancer. Additionally, compared to machine learning, deep learning has the lowest uncertainty in its predictions. These findings suggest that deep learning algorithms applied to cancer pre-screening offer a radiation-free, non-invasive, and affordable complement to screening methods based on imagery. The implementation of deep learning algorithms in cancer pre-screening offer opportunities to identify individuals who may require imaging-based screening, can encourage self-examination, and decrease the psychological externalities associated with false positives in cancer screening. The integration of deep learning algorithms for both screening and pre-screening will ultimately lead to earlier detection of malignancy, reducing the healthcare and societal burden associated to cancer treatment. "
"Effectiveness of Artificial Intelligence for Personalized Medicine in Neoplasms: A Systematic Review","https://scispace.com/paper/effectiveness-of-artificial-intelligence-for-personalized-1cpt1r6a","2022","Journal Article","BioMed Research International","Sorayya Rezayi
Sharareh R. Niakan Kalhori
Soheil Saeedi","10.1155/2022/7842566","https://scispace.com/pdf/effectiveness-of-artificial-intelligence-for-personalized-1cpt1r6a.pdf","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Reviews AI methods reporting AUC, sensitivity, specificity; lacks original early‑detection model. Mentions imaging and genomics separately, but no integrated multimodal analysis. Summarizes performance across studies, offering indirect comparisons rather than direct head‑to‑head evaluation.","Purpose Artificial intelligence (AI) techniques are used in precision medicine to explore novel genotypes and phenotypes data. The main aims of precision medicine include early diagnosis, screening, and personalized treatment regime for a patient based on genetic-oriented features and characteristics. The main objective of this study was to review AI techniques and their effectiveness in neoplasm precision medicine. Materials and Methods A comprehensive search was performed in Medline (through PubMed), Scopus, ISI Web of Science, IEEE Xplore, Embase, and Cochrane databases from inception to December 29, 2021, in order to identify the studies that used AI methods for cancer precision medicine and evaluate outcomes of the models. Results Sixty-three studies were included in this systematic review. The main AI approaches in 17 papers (26.9%) were linear and nonlinear categories (random forest or decision trees), and in 21 citations, rule-based systems and deep learning models were used. Notably, 62% of the articles were done in the United States and China. R package was the most frequent software, and breast and lung cancer were the most selected neoplasms in the papers. Out of 63 papers, in 34 articles, genomic data like gene expression, somatic mutation data, phenotype data, and proteomics with drug-response which is functional data was used as input in AI methods; in 16 papers' (25.3%) drug response, functional data was utilized in personalization of treatment. The maximum values of the assessment indicators such as accuracy, sensitivity, specificity, precision, recall, and area under the curve (AUC) in included studies were 0.99, 1.00, 0.96, 0.98, 0.99, and 0.9929, respectively. Conclusion The findings showed that in many cases, the use of artificial intelligence methods had effective application in personalized medicine."
"Enhancing Breast Cancer Classification: A Few-Shot Meta-Learning Framework with DenseNet-121 for Improved Diagnosis","https://scispace.com/paper/enhancing-breast-cancer-classification-a-few-shot-meta-32vp3yyft8iz","2024","Journal Article","","Nidhi Upadhyay
Anuja Bhargava
Upasana Gitanjali Singh
Mohammed H. Alsharif
Ho-Shin Cho","10.1101/2024.10.04.24314684","https://scispace.compdf/enhancing-breast-cancer-classification-a-few-shot-meta-32vp3yyft8iz.pdf","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses DenseNet‑121 few‑shot meta‑learning for breast cancer detection, reports high accuracy but lacks AUC, sensitivity, specificity; no genomics data; provides some performance comparison to prior models.","Breast cancer is a significant health concern globally, requiring early and accurate detection to improve patient outcomes. However, manual detection of breast cancer from medical images is time-consuming and inaccurate. Accurate assessment of cancer stages is critical for effective treatment and post-diagnosis handling. The goal of this research is to develop a specialized meta-learning method for classifying breast cancer images, particularly effective when working with limited data. Traditional cancer stage classification methods often struggle with insufficient labeled data, but meta-learning addresses this challenge by rapidly adapting to new tasks with few examples. The proposed method begins with image segmentation to identify regions of interest in the medical images, followed by thorough feature extraction to capture essential data representations. The critical meta-training phase involves refining a classifier within a metric space, utilizing cosine distance and an adaptable scale parameter. During the meta-testing stage, the adapted classifier predicts cancer stages using minimal support samples, achieving approximately 96% accuracy. This approach shows significant promise for the medical field, providing practical solutions to enhance diagnostic processes and improve predictions for breast cancer detection and treatment. "
"An Empirical Analysis of Transformer-Based and Convolutional Neural Network Approaches for Early Detection and Diagnosis of Cancer Using Multimodal Imaging and Genomic Data","https://scispace.com/paper/an-empirical-analysis-of-transformer-based-and-convolutional-4tkdyztx7anh","2024","Journal Article","IEEE Access","S Sangeetha
Sandeep Kumar Mathivanan
V. Muthukumaran
Jaehyuk Cho
V E Sathishkumar","10.1109/access.2024.3524564","","- **Relevance Score:** 28/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses multimodal imaging and genomic data with Transformers and CNNs; compares models directly, but reports only accuracy/precision/recall, lacking AUC, sensitivity, specificity.","Early diagnosis of cancer has focused on the use of advanced algorithms to achieve accurate diagnosis. The proposed study assesses the effectiveness of Transformer-based models and Convolutional Neural Networks (CNN) in cancer diagnosis with respect to multimodal imaging and genomic data. The performance comparisons between the two algorithmic methods with such complex datasets, which combine multi-modal imaging and genomic information, are presented. In search of the optimal neural network configuration, a series of experiments were conducted with respect to different layers, attention mechanisms in case of transformers, and convolutional architectures in case of CNNs. Besides, parameters related to training, such as learning rates, batch sizes, and optimization algorithms, have also been systematically tuned. The different models were evaluated against accuracy, precision, recall, and the F1-score. Our results show that the proposed multimodal model, with accuracy from 92.5 to 93.2, F1-scores between 91.5 and 92.2, precision of 91.5 to 92.2, and recall values of 92.5 to 93.2. In contrast, much lower accuracy, F1-scores, precision, and recall values were noticed when using baselines, especially VGG. All these findings indicate the fact that the presented techniques, especially the Multimodal and Transformer models, are more robust solutions for classification tasks with better balance between precision and recall, as well as with higher overall accuracy. This came with the cost of the expense of computational resources: CNNs are less resource-intensive but have competitive performance with better precision and recall. The results underline how algorithm selection and hyperparameter optimization play a crucial role in cancer detection tasks. This study has shown how state-of-the-art deep learning methods can be effectively combined with multi-modal data for building more accurate and efficient systems in cancer diagnosis. Two main lines of future work would be improving these algorithms and understanding their applicability in real clinical practice to obtain maximum benefits from them."
"Automated classification of urine biomarkers to diagnose pancreatic cancer using 1-D convolutional neural networks","https://scispace.com/paper/automated-classification-of-urine-biomarkers-to-diagnose-1pmhhyka","2023","Journal Article","Journal of Biological Engineering","Mohamed Esmail Karar
Nawal El-Fishawy
Marwa A. Radad","10.1186/s13036-023-00340-0","https://scispace.com/pdf/automated-classification-of-urine-biomarkers-to-diagnose-1pmhhyka.pdf","- **Relevance Score:** 28/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses 1‑D CNN on urine proteomic data for pancreatic cancer detection, but only limited performance metrics are reported and no imaging‑genomics fusion or model comparisons are presented.","Abstract Background Early diagnosis of Pancreatic Ductal Adenocarcinoma (PDAC) is the main key to surviving cancer patients. Urine proteomic biomarkers which are creatinine, LYVE1, REG1B, and TFF1 present a promising non-invasive and inexpensive diagnostic method of the PDAC. Recent utilization of both microfluidics technology and artificial intelligence techniques enables accurate detection and analysis of these biomarkers. This paper proposes a new deep-learning model to identify urine biomarkers for the automated diagnosis of pancreatic cancers. The proposed model is composed of one-dimensional convolutional neural networks (1D-CNNs) and long short-term memory (LSTM). It can categorize patients into healthy pancreas, benign hepatobiliary disease, and PDAC cases automatically. Results Experiments and evaluations have been successfully done on a public dataset of 590 urine samples of three classes, which are 183 healthy pancreas samples, 208 benign hepatobiliary disease samples, and 199 PDAC samples. The results demonstrated that our proposed 1-D CNN + LSTM model achieved the best accuracy score of 97% and the area under curve (AUC) of 98% versus the state-of-the-art models to diagnose pancreatic cancers using urine biomarkers. Conclusion A new efficient 1D CNN-LSTM model has been successfully developed for early PDAC diagnosis using four proteomic urine biomarkers of creatinine, LYVE1, REG1B, and TFF1. This developed model showed superior performance on other machine learning classifiers in previous studies. The main prospect of this study is the laboratory realization of our proposed deep classifier on urinary biomarker panels for assisting diagnostic procedures of pancreatic cancer patients. "
"Advancing Early Disease Detection Using Multimodal Machine Learning Models Integrating Imaging, Genomics, and Clinical Data Sources","https://scispace.com/paper/advancing-early-disease-detection-using-multimodal-machine-b0etsz9mmir3","2025","Journal Article","","Ammara Rafique¹
Umm E Farwa Syeda
Muhammad Ahmed
Ali Khan³
Muhammad Umair Aslam⁴
Afeera Bint-e-Tanveer⁵
Asma Eric⁶","10.61919/hfd85x30","","- **Relevance Score:** 28/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses systematic review to compare multimodal vs unimodal models, reporting AUC gains; lacks original AI cancer model and sensitivity/specificity metrics, but discusses imaging‑genomics studies.","Background: Early and accurate disease detection is critical for improving patient outcomes, yet conventional diagnostic approaches often rely on isolated data sources, which may provide an incomplete clinical picture. Multimodal machine learning (MML), which integrates diverse data types like medical imaging, genomics, and clinical records, holds promise for a more holistic assessment. However, the comparative performance of these integrated models against standard single-source approaches has not been systematically evaluated. Objective: This systematic review aimed to determine whether MML models for early disease detection yield superior accuracy and diagnostic reliability compared to unimodal models. Methods: A systematic search was conducted in PubMed, Scopus, Web of Science, and the Cochrane Library for studies published between 2019 and 2024. The review included comparative studies that directly evaluated MML models (integrating at least two of: imaging, genomics, clinical data) against unimodal models for disease detection in human patients. Study selection, data extraction, and risk of bias assessment using a modified QUADAS-2 tool were performed in duplicate. Results: Eight studies met the inclusion criteria, encompassing diseases in oncology, neurology, and cardiology. All eight studies reported a statistically significant improvement in detection performance for multimodal models. The most common metrics showed MML models achieving absolute increases in the Area Under the Curve (AUC) of 0.04 to 0.10 over the best unimodal comparator. The greatest performance gains were observed in complex diseases like Alzheimer's and lung cancer. The main limitations were heterogeneity in data fusion techniques and a risk of bias from non-independent model tuning. Conclusion: The consistent findings across diverse clinical domains indicate that integrating multimodal data significantly enhances the accuracy of machine learning models for early disease detection. This evidence supports the paradigm of MML as a superior analytical framework. Future work should focus on standardizing validation practices and demonstrating generalizability in real-world clinical settings to facilitate translation into practice."
"Integrating liquid biopsies and artificial intelligence for early cancer detection: A systematic review and meta-analysis","https://scispace.com/paper/fIjVPSwOHskJ","","","","P Filis
G Markozannes
D Salgkamis","","","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Reviews AI‑driven liquid biopsy studies, cites AUC/sensitivity/specificity but lacks original model; no imaging data integration; comparisons are literature‑level, not direct experimental benchmarks.",""
"A Systematic Review on Artificial Intelligence in Cancer Prediction","https://scispace.com/paper/a-systematic-review-on-artificial-intelligence-in-cancer-p1vrfrf04rfn","2025","Journal Article","International Journal For Multidisciplinary Research","Nidhi Gautam
Megha Sharma
Naina Aggarwal
Shivam Grover","10.36948/ijfmr.2025.v07i05.55405","","- **Relevance Score:** 22/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses systematic review to summarize AI sensitivity ranges, mentions multimodal studies, and compares reported results across papers, but provides no original model metrics or direct head‑to‑head experiments.","Artificial Intelligence (AI) is rapidly transforming cancer care by enabling accurate, timely, and personalized predictions. This systematic review examines the role of AI in cancer prediction across imaging, genomics, histopathology, and prognosis. A structured literature search of PubMed, Scopus, Web of Science, and IEEE Xplore from 2015–2025 identified 110 relevant studies. Evidence suggests that AI models, including deep learning (DL) and machine learning (ML), achieve higher predictive accuracy than conventional diagnostic approaches, with reported sensitivities ranging from 85% to 98% in breast, lung, and colorectal cancers. AI is especially effective in early detection, tumor Classification, biomarker identification, and survival estimation. Despite advancements, challenges include limited external validation, data bias, interpretability issues, and regulatory barriers. Future research must prioritize explainable AI, multi-modal data integration, and large-scale clinical trials. "
"Artificial intelligence-enhanced multi-modal cancer diagnosis and prognosis: integrating medical imaging, genomic data, and clinical records for precision oncology","https://scispace.com/paper/artificial-intelligence-enhanced-multi-modal-cancer-1d6pcgv4ow54","2025","Journal Article","","EMMANUEL OKWUCHUKWU NDUKAIFE
Maria Nana
ISRAEL JONATHAN IHEOMA
Peter Chika Ozo-ogueji
ESO OGOCHUKWU VERONICA
TOKONI KUNOUN MARSHAL
CONFIDENCE ADIMCHI CHINONYEREM","10.70382/tijbshmr.v09i3.012","https://scispace.compdf/artificial-intelligence-enhanced-multi-modal-cancer-1d6pcgv4ow54.pdf","- **Relevance Score:** 22/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Reviews multimodal AI studies without presenting original early‑detection model or own AUC/sensitivity/specificity results; summarizes integration strategies and comparative performance across published works.","Multimodal artificial intelligence (AI) methods are now a paradigm-shifting approach for cancer prognosis and diagnosis, allowing the blending of heterogeneous data modalities including histopathology images, radiomics, genomics, and clinical data. In this systematic review, the existing evidence regarding the application, integration methods, and performance measures of multimodal AI models in oncology is compiled. According to the PRISMA 2020 guideline, a wide literature search was performed on Scopus, Web of Science, IEEE Xplore, and PubMed for literature from January 2019 to May 2025. There were 1,280 records found, out of which 50 were found to meet the inclusion criteria and were examined. Data retrieved consisted of study attributes, data types, fusion methods, evaluation measures, and achieved performance. Descriptive synthesis indicated a consistent increase in multimodal AI articles from 2021, with the most prevalent integration strategy being hybrid fusion (42% of research), then late fusion (26%), early fusion (18%), transformer-based models (8%), and graph neural networks (6%). Comparative analysis demonstrated that transformer-based and hybrid models offered the highest mean area under the curve (AUC) and concordance index measures (0.93 and 0.91, and 0.89 and 0.88, respectively). Despite standout performance, heterogeneity of the data set, reproducibility, and limited external validation concerns were widely reported. This review identifies the promise of multimodal AI to improve diagnostic accuracy and prognosis prediction in cancer, with cautionary notes on the necessary standardised datasets, clear reporting, and validation in clinical use for the translation to standard care. "
"Artificial Intelligence in Cancer Detection : A New Era of Precision Diagnostics","https://scispace.com/paper/artificial-intelligence-in-cancer-detection-a-new-era-of-dsdslb8bkek1","2025","Journal Article","International journal of scientific research in computer science, engineering and information technology","Naga Lakshmi","10.32628/cseit251117123","","- **Relevance Score:** 20/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses AI to detect cancer across modalities and mentions genetic integration, but lacks AUC/sensitivity/specificity numbers and provides no direct model comparisons.","Artificial intelligence has revolutionized cancer detection by integrating advanced computational techniques with medical imaging and clinical data analysis. AI-driven diagnostic systems employ a systematic methodology encompassing data acquisition, image preprocessing, region of interest segmentation, feature extraction through convolutional neural networks, and sophisticated classification algorithms. These systems analyze diverse imaging modalities including mammograms, CT scans, MRI, colposcopic, and histopathological images, often achieving diagnostic accuracies exceeding 90% that match or surpass experienced clinicians. The integration of multimodal data combining imaging with genetic profiles, biomarkers, and patient histories enhances diagnostic precision and enables personalized risk assessment. AI's scalability addresses critical healthcare disparities by democratizing expert-level screening in underserved regions lacking specialized medical infrastructure. Despite challenges in data standardization, algorithmic interpretability, and regulatory approval, rigorous validation through cross-validation and clinical trials ensures safety and efficacy. AI represents a transformative partnership with human expertise, promising earlier detection, improved accuracy, and reduced global cancer mortality through accessible, consistent, and precise diagnostic capabilities. "
"Interpretable multi-center machine learning model driven by facial image features for non-invasive early risk assessment of lung cancer.","https://scispace.com/paper/42222284","2026","Journal Article","Frontiers in physiology","Shi
Chun
Zhang
Xu
Chen
Jiao
Wang
Tu
Xu","10.3389/fphys.2026.1835790","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13218986/pdf","- **Relevance Score:** 20/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses AI on facial images to predict lung cancer risk, but only single-modality data and likely lacks full AUC, sensitivity, specificity reporting; no genomics or model comparisons included.","Early identification of lung cancer is critical for improving patient survival and prognosis. Conventional pathological biopsy is invasive, and computed tomography (CT) involves ionizing radiation risks. Facial imaging, as a non-invasive and accessible biological signal, is a promising novel approach for lung cancer auxiliary diagnosis."
"The Role of Artificial Intelligence in Early Cancer Diagnosis","https://scispace.com/paper/the-role-of-artificial-intelligence-in-early-cancer-1xgt5wzs","2022","Journal Article","Cancers","B. Hunter
Sumeet Hindocha
R. Lee","10.3390/cancers14061524","https://scispace.com/pdf/the-role-of-artificial-intelligence-in-early-cancer-1xgt5wzs.pdf","- **Relevance Score:** 20/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses AI for early cancer detection and discusses implementation challenges, but lacks reported AUC, sensitivity, specificity, multimodal imaging-genomics data, and direct model comparisons.","Simple Summary Diagnosing cancer at an early stage increases the chance of performing effective treatment in many tumour groups. Key approaches include screening patients who are at risk but have no symptoms, and rapidly and appropriately investigating those who do. Machine learning, whereby computers learn complex data patterns to make predictions, has the potential to revolutionise early cancer diagnosis. Here, we provide an overview of how such algorithms can assist doctors through analyses of routine health records, medical images, biopsy samples and blood tests to improve risk stratification and early diagnosis. Such tools will be increasingly utilised in the coming years. Abstract Improving the proportion of patients diagnosed with early-stage cancer is a key priority of the World Health Organisation. In many tumour groups, screening programmes have led to improvements in survival, but patient selection and risk stratification are key challenges. In addition, there are concerns about limited diagnostic workforces, particularly in light of the COVID-19 pandemic, placing a strain on pathology and radiology services. In this review, we discuss how artificial intelligence algorithms could assist clinicians in (1) screening asymptomatic patients at risk of cancer, (2) investigating and triaging symptomatic patients, and (3) more effectively diagnosing cancer recurrence. We provide an overview of the main artificial intelligence approaches, including historical models such as logistic regression, as well as deep learning and neural networks, and highlight their early diagnosis applications. Many data types are suitable for computational analysis, including electronic healthcare records, diagnostic images, pathology slides and peripheral blood, and we provide examples of how these data can be utilised to diagnose cancer. We also discuss the potential clinical implications for artificial intelligence algorithms, including an overview of models currently used in clinical practice. Finally, we discuss the potential limitations and pitfalls, including ethical concerns, resource demands, data security and reporting standards."
"Harnessing AI for early cancer detection through imaging and genetics","https://scispace.com/paper/SEL5c5tUtdIJ","","","","W Assegid
G Ketema","","https://cjmhp.com/index.php/journal/article/download/1.1.01/90","- **Relevance Score:** 20/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses AI to improve early cancer detection and mentions imaging‑genomics integration, but lacks reported AUC/sensitivity/specificity values and provides no direct model comparisons.",""
"AI-Powered Early Diagnosis Systems Using Multi-Modal Healthcare Data","https://scispace.com/paper/ai-powered-early-diagnosis-systems-using-multi-modal-w3bsjxcy1xpl","2025","Journal Article","International journal of innovative research in engineering & multidisciplinary physical sciences","Sheetal Kalyani","10.37082/ijirmps.v13.i2.232445","","- **Relevance Score:** 20/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses AI for early cancer detection but lacks reported AUC, sensitivity, specificity; mentions multimodal data including imaging and genomics but without focused integration; does not provide direct model comparisons.","The use of artificial intelligence (AI) in healthcare has transformed disease detection and management, especially in early diagnosis systems. By leveraging multi-modal healthcare data such as imaging, electronic health records (EHR), genomics, and wearable sensor data, AI systems can provide unmatched accuracy in the early detection of diseases. Early diagnosis is essential to enhance patient outcomes and minimize healthcare expenses. Multi-modal data captures a variety of views of a patient's status, and when intelligently combined with deep learning and machine learning algorithms, can unlock intricate patterns that are not easily discernible with single-modal analysis. This paper discusses the design and use of AI-driven early diagnosis systems using multi-modal healthcare data. It emphasizes recent breakthroughs, data fusion methods, and several AI algorithms with encouraging results. In addition, the paper assesses the performance of these systems across various disease areas including oncology, cardiology, neurology, and infectious diseases. Based on real-world case studies and experimental assessment, we showcase how AI enhances diagnostic accuracy, decreases diagnostic delay, and individualizes treatment planning. Last but not least, the paper discusses limitations in integration, explainability, privacy, and scalability, providing guidance on future research and development. "
"Development of a machine learning predictive model for early detection of breast cancer.","https://scispace.com/paper/42253458","2025","Journal Article","F1000Research","Rahman
Saha
Dkhar
Malli
Barnes Abraham","10.12688/f1000research.161073.5","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13234550/pdf","- **Relevance Score:** 20/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses ML for early breast cancer detection but lacks reported AUC, sensitivity, specificity; no imaging‑genomics fusion; no direct model comparisons presented.","Breast cancer remains a significant global health concern, with over 7.8 million cases reported in the last five years. Early detection and accurate classification are crucial for reducing mortality rates and improving outcomes. Machine learning (ML) has emerged as a transformative tool in medical imaging, enabling more efficient and accurate diagnostic processes."
"An artificial intelligence model for early-stage breast cancer classification from histopathological biopsy images","https://scispace.com/paper/an-artificial-intelligence-model-for-early-stage-breast-m53sqqlfq4io","2025","Journal Article","Frontiers in artificial intelligence","Neil Yash Chaudhary
A. Z. Dhunny","10.3389/frai.2025.1627876","https://scispace.compdf/an-artificial-intelligence-model-for-early-stage-breast-m53sqqlfq4io.pdf","- **Relevance Score:** 20/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses DenseNet121 on biopsy slides, reports high sensitivity but lacks AUC and specificity; no genomics data integrated; no direct model‑to‑model comparison presented.","Accurate identification of breast cancer subtypes is essential for guiding treatment decisions and improving patient outcomes. In current clinical practice, determining histological subtypes often requires additional invasive procedures, delaying treatment initiation. This study proposes a deep learning-based model built on a DenseNet121 backbone with a multi-scale feature fusion strategy, designed to classify breast cancer from histopathological biopsy images. Trained and evaluated on the publicly available BreaKHis dataset using 5-fold cross-validation, the model achieved a binary classification accuracy of 97.1%, and subtype classification accuracies of 93.8% for benign tumors and 92.0% for malignant tumors. These results demonstrate the model's ability to capture morphological cues at multiple levels of abstraction and highlight its potential as a diagnostic support tool in digital pathology workflows. "
"Review of the future of lung cancer screening","https://scispace.com/paper/review-of-the-future-of-lung-cancer-screening-8rv5c2yz","2022","Journal Article","Current challenges in thoracic surgery","","10.21037/ccts-20-125","https://scispace.com/pdf/review-of-the-future-of-lung-cancer-screening-8rv5c2yz.pdf","- **Relevance Score:** 20/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Reviews AI LDCT tools, cites sensitivity, false‑positive rates, and AUC values (0.75, 0.944) but lacks a new method, specificity data, genomics integration, or direct model comparisons.",": Lung cancer screening has progressed greatly in the last two decades since the initial publication of Early Lung Cancer Action Project (ELCAP) in 1999. Since then, large randomized trials, the National Lung Screening Trial (NLST) and NELSON studies, have also shown the benefit of lung cancer screening with CT, and it is now widely available. There are many areas for improving the benefit of screening by refining the eligibility criteria, continued optimization of the screening regimen, identifying other related diseases, and improved treatment. As artificial intelligence (AI) techniques continue to improve, an automated report of all diseases can be produced from the low-dose CT scan. New screening tests are being developed for lung cancer including blood-based tests. There is growing recognition that use of risk factor-based criteria which dichotomize age and pack-years of smoking to select eligible individuals for screening may not be the most efficient and may also lead to increased lung cancer disparity. Continued research will focus on optimal approaches for selecting high risk individuals for lung cancer screening and thus hopefully expand eligibility criteria beyond the current criteria which include only 20% of lung cancer patients. With the increase in early stage lung cancers identified from lung cancer screening, a key focus of ongoing research is the treatment of these cancers. "
